".pred_class","Age","Gender","Nscore","Escore","Oscore","Ascore","Nicotine","Cannabis"
"no",1.09449,0.48246,0.04257,0.63779,-0.31776,-0.30172,0,"no"
"no",-0.07854,0.48246,-0.46725,2.127,0.14143,0.13136,0,"yes"
"yes",-0.07854,-0.48246,0.31287,-1.09207,-0.84732,-0.60633,0,"yes"
"no",0.49788,0.48246,-0.34799,0.63779,-0.97631,0.28783,0,"no"
"no",-0.07854,0.48246,-1.05308,0.63779,-0.97631,-1.07533,0,"no"
"no",1.09449,-0.48246,-1.1943,0.63779,-1.11902,-0.45321,0,"no"
"no",1.09449,0.48246,-0.34799,-0.80615,-0.84732,0.28783,0,"no"
"no",1.09449,0.48246,-0.79151,0.96248,-1.11902,0.94156,0,"no"
"yes",0.49788,-0.48246,-0.05188,0.16767,0.29338,-0.15487,1,"no"
"yes",1.09449,-0.48246,-0.05188,0.32197,-0.58331,0.94156,1,"no"
"no",1.09449,-0.48246,0.13606,-1.09207,-0.45174,-1.21213,0,"yes"
"no",1.09449,0.48246,-0.46725,0.16767,-1.11902,2.23427,0,"no"
"no",0.49788,0.48246,-0.05188,-1.09207,-2.63199,-0.91699,0,"no"
"no",0.49788,0.48246,-0.24649,1.2861,0.14143,0.59042,0,"no"
"no",-0.07854,-0.48246,-1.05308,1.11406,-1.82919,-0.45321,0,"no"
"yes",-0.07854,0.48246,1.8399,0.00332,-0.31776,0.94156,1,"no"
"no",-0.07854,0.48246,0.13606,0.32197,-1.55521,1.45039,0,"no"
"yes",-0.95197,-0.48246,1.49158,-1.23177,0.7233,-2.35413,1,"yes"
"no",1.09449,0.48246,0.52135,-0.57545,-0.45174,-0.45321,1,"no"
"no",0.49788,0.48246,1.49158,0.00332,-1.27553,-0.91699,0,"no"
"no",-0.07854,-0.48246,-1.32828,-0.43999,-0.31776,0.59042,0,"no"
"yes",-0.95197,0.48246,1.98437,-0.43999,0.29338,-0.76096,1,"no"
"no",1.82213,-0.48246,0.04257,-0.80615,-0.97631,0.59042,1,"no"
"no",0.49788,0.48246,-0.67825,1.45421,0.14143,0.28783,0,"no"
"no",-0.95197,-0.48246,-0.34799,1.2861,-1.11902,0.59042,0,"no"
"yes",-0.07854,0.48246,-0.05188,0.47617,0.58331,0.76096,1,"yes"
"yes",1.09449,0.48246,-0.46725,2.32338,0.7233,1.81866,1,"yes"
"no",0.49788,0.48246,-0.67825,1.2861,-0.45174,0.94156,0,"no"
"yes",-0.07854,-0.48246,-1.43907,0.47617,1.06238,-0.45321,0,"no"
"yes",-0.07854,0.48246,0.31287,1.11406,-0.84732,-1.07533,1,"yes"
"yes",0.49788,0.48246,-0.34799,-0.57545,0.14143,1.11406,1,"no"
"yes",-0.95197,0.48246,0.82562,-0.30033,0.29338,-0.01729,1,"yes"
"no",1.09449,0.48246,-0.46725,0.47617,-0.71727,1.45039,0,"no"
"no",1.09449,-0.48246,-0.67825,0.32197,-0.01928,-0.76096,0,"no"
"no",0.49788,0.48246,1.02119,-2.21069,-1.82919,0.59042,1,"no"
"no",-0.07854,0.48246,0.41667,0.96248,-0.01928,-0.91699,0,"no"
"no",-0.07854,0.48246,0.04257,0.96248,-1.27553,2.23427,0,"no"
"no",-0.07854,0.48246,1.49158,0.32197,-0.17779,0.43852,0,"no"
"no",1.09449,-0.48246,-0.92104,-0.30033,-1.11902,0.59042,0,"no"
"no",1.09449,0.48246,-2.42317,0.16767,-0.31776,2.03972,0,"no"
"no",1.09449,0.48246,-0.79151,0.16767,0.29338,-0.01729,0,"no"
"yes",-0.07854,-0.48246,1.37297,-0.69509,-0.71727,-0.91699,1,"yes"
"no",1.09449,0.48246,-0.46725,0.96248,2.15324,-0.91699,0,"no"
"no",1.09449,-0.48246,-0.92104,0.80523,-0.31776,0.94156,0,"no"
"no",-0.07854,0.48246,0.22393,0.16767,-1.11902,0.28783,1,"yes"
"no",0.49788,0.48246,0.41667,-0.43999,0.14143,0.43852,0,"no"
"no",1.09449,0.48246,-0.05188,0.00332,0.14143,0.94156,0,"no"
"no",1.09449,0.48246,0.22393,-1.37639,-0.17779,-1.34289,0,"no"
"yes",-0.07854,-0.48246,0.62967,0.32197,-0.71727,-0.30172,1,"no"
"yes",-0.07854,0.48246,-2.05048,0.63779,-0.71727,1.61108,1,"no"
"no",0.49788,0.48246,-0.92104,0.96248,-0.84732,1.45039,0,"no"
"yes",0.49788,0.48246,0.62967,-1.09207,0.44585,-0.76096,1,"yes"
"no",0.49788,-0.48246,1.37297,-0.43999,0.14143,-0.01729,0,"no"
"no",1.09449,0.48246,-0.34799,0.00332,-1.27553,-0.15487,0,"no"
"no",0.49788,-0.48246,0.22393,-1.23177,-0.84732,-1.07533,0,"no"
"no",1.09449,0.48246,-0.34799,0.00332,-0.45174,0.28783,0,"no"
"yes",-0.95197,0.48246,-0.58016,0.16767,-0.71727,0.13136,1,"no"
"no",1.09449,0.48246,0.31287,-0.30033,-1.27553,-0.15487,0,"no"
"no",-0.95197,0.48246,-0.79151,0.47617,0.44585,0.94156,0,"no"
"no",1.09449,-0.48246,0.91093,-1.09207,-1.68062,0.28783,0,"no"
"no",-0.07854,0.48246,0.22393,0.00332,1.43533,-0.91699,0,"no"
"no",1.09449,0.48246,-1.05308,0.47617,-0.71727,0.76096,0,"no"
"yes",-0.95197,0.48246,2.82196,-1.92173,-0.84732,0.43852,1,"yes"
"yes",-0.07854,0.48246,0.41667,-0.57545,0.58331,0.43852,1,"yes"
"yes",1.09449,0.48246,0.62967,0.16767,-0.17779,-0.01729,1,"no"
"yes",0.49788,0.48246,-1.86962,0.16767,1.43533,1.81866,1,"no"
"no",1.09449,-0.48246,-0.14882,-0.69509,0.44585,0.76096,0,"no"
"yes",0.49788,-0.48246,0.22393,-0.15487,-0.01928,0.28783,1,"no"
"yes",-0.07854,-0.48246,0.62967,0.00332,1.24033,1.81866,1,"yes"
"no",0.49788,0.48246,-1.05308,0.47617,-0.17779,-0.15487,0,"no"
"yes",-0.95197,-0.48246,0.22393,0.32197,0.14143,-0.91699,1,"yes"
"no",0.49788,-0.48246,-0.34799,-0.57545,-1.11902,-0.91699,1,"yes"
"no",1.09449,-0.48246,-2.05048,0.47617,-1.11902,1.61108,0,"no"
"no",0.49788,0.48246,-0.46725,0.32197,-0.58331,-0.01729,0,"no"
"yes",-0.07854,0.48246,-0.79151,0.32197,0.29338,-1.34289,1,"yes"
"yes",-0.95197,-0.48246,-1.43907,0.63779,-0.31776,-0.76096,1,"yes"
"no",1.09449,-0.48246,1.02119,-1.37639,0.44585,0.94156,0,"yes"
"yes",-0.95197,-0.48246,-0.58016,-1.09207,-0.58331,-2.07848,1,"yes"
"no",-0.07854,0.48246,0.31287,0.00332,1.06238,-0.45321,0,"yes"
"no",-0.07854,-0.48246,0.62967,0.16767,-0.17779,-0.30172,0,"no"
"no",1.09449,0.48246,0.22393,1.93886,-1.11902,1.2861,1,"no"
"yes",-0.07854,0.48246,-0.92104,0.00332,0.29338,-0.15487,1,"yes"
"no",-0.95197,0.48246,0.73545,-0.15487,-0.84732,0.59042,1,"yes"
"no",-0.95197,0.48246,-1.1943,0.80523,-0.84732,-0.15487,0,"no"
"no",0.49788,0.48246,-0.46725,-0.57545,0.14143,0.59042,0,"no"
"yes",-0.95197,0.48246,1.23461,-1.37639,1.24033,-1.772,1,"yes"
"yes",-0.95197,0.48246,0.31287,0.63779,1.06238,1.11406,1,"yes"
"no",0.49788,-0.48246,-0.05188,0.16767,-0.71727,-0.30172,0,"no"
"yes",0.49788,0.48246,1.37297,0.00332,-0.45174,-0.76096,1,"yes"
"yes",0.49788,-0.48246,-0.67825,-0.15487,0.29338,0.13136,1,"yes"
"yes",-0.95197,-0.48246,0.73545,-1.6334,0.88309,-1.21213,1,"yes"
"yes",-0.95197,-0.48246,-1.1943,-0.43999,0.44585,0.59042,1,"yes"
"yes",-0.07854,-0.48246,0.04257,1.2861,2.90161,-0.60633,1,"no"
"no",1.82213,0.48246,1.37297,-0.69509,1.43533,-0.15487,0,"yes"
"no",1.82213,0.48246,0.04257,-0.30033,-0.31776,-0.76096,0,"yes"
"yes",0.49788,-0.48246,-0.05188,0.00332,-0.31776,-0.01729,1,"yes"
"no",-0.07854,-0.48246,0.13606,-0.30033,-0.97631,-1.34289,1,"yes"
"no",0.49788,0.48246,-1.05308,1.11406,-0.31776,0.28783,0,"no"
"no",0.49788,0.48246,-0.14882,0.16767,-0.71727,-1.6209,1,"no"
"no",0.49788,0.48246,0.22393,-0.30033,-0.97631,-0.76096,1,"yes"
"yes",-0.95197,-0.48246,0.04257,0.32197,-0.01928,-1.34289,1,"yes"
"no",1.82213,-0.48246,-1.86962,0.47617,-1.11902,-0.01729,0,"no"
"yes",1.09449,-0.48246,1.02119,-1.50796,-0.71727,0.28783,1,"yes"
"no",0.49788,0.48246,-1.86962,2.32338,-0.45174,1.45039,0,"no"
"no",1.09449,-0.48246,-1.32828,1.2861,-0.17779,0.59042,0,"no"
"yes",-0.95197,0.48246,1.23461,-0.57545,-0.71727,-0.76096,1,"yes"
"yes",-0.95197,-0.48246,1.23461,-0.43999,0.14143,0.13136,0,"no"
"no",-0.95197,0.48246,1.72012,-1.50796,-0.17779,0.76096,0,"no"
"no",-0.07854,0.48246,1.02119,-1.92173,-0.45174,-0.01729,0,"no"
"no",1.09449,0.48246,0.22393,-0.94779,-1.11902,-0.01729,0,"no"
"no",1.09449,0.48246,0.31287,-0.80615,0.14143,0.59042,0,"no"
"yes",-0.95197,0.48246,0.91093,1.11406,-0.97631,0.94156,1,"yes"
"yes",-0.95197,-0.48246,0.31287,0.32197,-0.31776,0.76096,1,"yes"
"yes",0.49788,0.48246,-2.75696,0.96248,0.14143,0.43852,1,"yes"
"yes",-0.95197,-0.48246,-1.43907,0.80523,0.7233,0.94156,1,"yes"
"no",1.82213,0.48246,-0.34799,-0.43999,-0.31776,-0.76096,0,"yes"
"yes",-0.95197,-0.48246,0.52135,-1.6334,-1.11902,-2.07848,1,"yes"
"no",1.82213,0.48246,-2.52197,1.11406,1.88511,1.2861,0,"yes"
"no",1.82213,0.48246,1.23461,-0.80615,-1.42424,1.11406,0,"yes"
"yes",-0.07854,0.48246,1.98437,-0.30033,-0.31776,-1.6209,1,"yes"
"yes",-0.07854,0.48246,-0.24649,0.63779,-0.71727,-0.91699,1,"yes"
"no",0.49788,0.48246,0.13606,-0.15487,-0.45174,0.76096,1,"no"
"yes",1.09449,0.48246,1.02119,0.16767,-0.17779,-0.60633,1,"yes"
"yes",-0.95197,-0.48246,0.52135,-1.37639,-0.45174,1.45039,1,"yes"
"no",0.49788,0.48246,0.04257,0.00332,-1.27553,-0.01729,0,"no"
"yes",0.49788,-0.48246,-1.69163,-0.94779,-1.55521,1.81866,1,"yes"
"yes",1.09449,0.48246,-0.46725,0.47617,0.58331,0.28783,1,"no"
"yes",-0.07854,-0.48246,-0.24649,1.74091,0.88309,1.2861,1,"yes"
"no",1.09449,-0.48246,-0.14882,-0.69509,0.44585,0.13136,0,"no"
"no",1.09449,-0.48246,0.04257,-0.30033,-0.31776,-0.76096,0,"no"
"yes",-0.95197,-0.48246,1.02119,1.2861,1.24033,-0.60633,1,"yes"
"yes",-0.95197,-0.48246,-0.67825,0.63779,-0.01928,0.13136,0,"yes"
"yes",-0.07854,-0.48246,-0.46725,1.74091,-0.45174,-0.15487,1,"yes"
"yes",-0.07854,-0.48246,-0.79151,1.45421,1.88511,-0.91699,1,"yes"
"yes",-0.95197,-0.48246,2.28554,-2.11437,-0.31776,-0.01729,0,"no"
"no",1.09449,-0.48246,0.22393,-0.80615,-0.17779,-0.01729,0,"no"
"no",-0.07854,0.48246,-0.14882,-0.15487,-0.97631,0.13136,0,"no"
"no",0.49788,0.48246,-0.14882,-0.43999,-0.01928,1.2861,0,"no"
"yes",1.09449,-0.48246,-1.05308,1.11406,0.44585,0.76096,1,"yes"
"yes",-0.95197,-0.48246,-0.92104,-0.30033,-0.71727,0.59042,1,"yes"
"yes",-0.95197,-0.48246,0.91093,0.16767,0.58331,-0.60633,1,"yes"
"yes",-0.95197,-0.48246,-0.58016,-0.15487,-0.84732,1.11406,1,"yes"
"yes",-0.95197,-0.48246,0.52135,0.80523,0.88309,1.81866,1,"yes"
"yes",0.49788,-0.48246,1.23461,0.80523,0.88309,-0.15487,1,"yes"
"yes",0.49788,0.48246,1.13281,-0.57545,0.7233,0.76096,1,"yes"
"yes",-0.07854,0.48246,0.31287,0.63779,-0.58331,0.13136,1,"no"
"yes",-0.95197,-0.48246,0.73545,1.11406,1.43533,-1.47955,1,"yes"
"yes",0.49788,-0.48246,-1.32828,0.16767,0.58331,1.2861,1,"yes"
"no",-0.07854,0.48246,0.73545,0.32197,-1.11902,0.43852,0,"no"
"no",0.49788,0.48246,0.41667,-0.57545,-1.42424,-0.01729,0,"yes"
"no",-0.07854,0.48246,0.41667,1.11406,-0.58331,1.2861,0,"no"
"yes",-0.07854,-0.48246,0.04257,-0.94779,-0.84732,-0.45321,1,"yes"
"yes",0.49788,-0.48246,1.02119,-0.94779,-0.84732,-1.34289,1,"yes"
"yes",-0.95197,-0.48246,1.13281,-1.23177,0.29338,-0.01729,1,"yes"
"no",-0.95197,0.48246,-0.24649,0.47617,0.88309,-0.01729,0,"yes"
"yes",-0.95197,-0.48246,-0.58016,0.00332,0.14143,-0.30172,1,"yes"
"yes",-0.95197,-0.48246,0.62967,-0.15487,0.58331,-1.6209,1,"yes"
"no",-0.07854,-0.48246,0.04257,2.127,-0.31776,-0.60633,0,"no"
"yes",-0.95197,-0.48246,0.41667,-0.94779,-0.31776,0.43852,1,"yes"
"yes",-0.95197,-0.48246,-1.1943,0.16767,-0.01928,0.43852,1,"yes"
"no",-0.07854,-0.48246,0.52135,-0.43999,-0.17779,0.59042,0,"yes"
"yes",-0.07854,-0.48246,-0.24649,0.16767,-0.31776,-0.45321,1,"yes"
"yes",-0.95197,-0.48246,-0.34799,0.80523,0.7233,0.59042,1,"yes"
"yes",-0.95197,-0.48246,1.13281,-0.69509,-0.01928,-1.34289,1,"yes"
"yes",-0.07854,-0.48246,0.52135,-0.57545,0.7233,-1.6209,1,"no"
"yes",-0.95197,-0.48246,2.46262,0.32197,0.29338,-0.91699,1,"yes"
"no",-0.95197,0.48246,0.13606,-0.94779,-0.01928,0.43852,0,"yes"
"yes",-0.95197,-0.48246,0.62967,-2.11437,-2.8595,0.94156,1,"yes"
"yes",-0.07854,0.48246,0.13606,-0.94779,1.43533,0.13136,1,"yes"
"yes",-0.95197,-0.48246,0.73545,0.00332,2.15324,0.13136,1,"yes"
"yes",-0.95197,-0.48246,-0.58016,-0.15487,0.88309,-0.45321,1,"yes"
"no",0.49788,-0.48246,0.91093,-1.6334,-1.42424,-0.15487,0,"no"
"yes",-0.07854,-0.48246,0.62967,-0.43999,0.29338,-1.92595,1,"yes"
"yes",-0.95197,-0.48246,0.41667,-0.94779,0.44585,-0.30172,1,"yes"
"yes",-0.95197,-0.48246,0.04257,0.00332,1.43533,0.13136,1,"yes"
"no",-0.95197,0.48246,-0.14882,1.11406,-0.58331,-0.60633,0,"yes"
"yes",-0.95197,-0.48246,0.41667,-1.09207,0.58331,0.59042,1,"yes"
"yes",-0.95197,-0.48246,0.22393,1.58487,0.14143,-1.6209,1,"yes"
"no",-0.07854,0.48246,0.22393,-1.09207,-0.58331,0.28783,1,"yes"
"no",-0.07854,-0.48246,-0.92104,0.47617,0.7233,0.43852,0,"yes"
"no",-0.07854,0.48246,-1.1943,1.45421,1.24033,-0.91699,0,"no"
"yes",-0.95197,-0.48246,1.49158,0.00332,0.29338,0.76096,1,"yes"
"yes",-0.07854,-0.48246,1.02119,-2.72827,0.14143,-0.01729,1,"yes"
"yes",-0.95197,-0.48246,0.13606,0.96248,1.06238,0.59042,1,"yes"
"yes",-0.95197,-0.48246,-1.43907,-1.7625,-0.01928,-2.35413,1,"yes"
"yes",-0.95197,0.48246,-1.86962,-0.30033,0.14143,0.13136,1,"yes"
"yes",-0.95197,-0.48246,0.04257,-0.94779,0.44585,-0.60633,1,"yes"
"yes",-0.95197,-0.48246,-0.24649,0.00332,-0.31776,0.76096,1,"yes"
"yes",-0.95197,0.48246,2.127,-2.72827,-1.97495,-0.01729,1,"yes"
"yes",-0.95197,-0.48246,0.22393,0.00332,-0.01928,-0.45321,1,"yes"
"yes",-0.95197,0.48246,1.72012,-1.6334,-0.17779,1.61108,1,"yes"
"yes",-0.95197,-0.48246,1.02119,-1.50796,0.29338,0.13136,1,"yes"
"yes",-0.07854,0.48246,0.73545,-0.69509,1.24033,0.94156,1,"no"
"yes",-0.95197,0.48246,1.13281,-1.92173,-0.01928,1.11406,1,"yes"
"yes",-0.95197,-0.48246,0.41667,1.2861,1.06238,-0.01729,1,"yes"
"yes",-0.95197,-0.48246,-0.67825,-0.30033,-1.11902,-0.76096,1,"yes"
"yes",-0.07854,0.48246,1.02119,-0.94779,-0.01928,-0.30172,1,"yes"
"yes",0.49788,-0.48246,-1.43907,-0.30033,0.14143,1.2861,1,"yes"
"no",-0.95197,0.48246,0.04257,0.16767,1.43533,1.11406,0,"no"
"no",1.09449,0.48246,-0.05188,-0.69509,0.7233,2.03972,0,"yes"
"yes",0.49788,-0.48246,0.62967,-1.92173,-0.01928,0.13136,1,"yes"
"yes",-0.07854,0.48246,-1.1943,0.00332,0.7233,0.43852,1,"yes"
"yes",-0.95197,-0.48246,1.49158,-1.23177,-1.11902,0.13136,1,"yes"
"yes",-0.95197,-0.48246,-1.86962,2.127,1.24033,1.45039,1,"yes"
"yes",-0.95197,-0.48246,0.41667,-0.15487,0.14143,-0.76096,1,"yes"
"yes",-0.95197,-0.48246,1.72012,-0.57545,1.65653,0.13136,1,"yes"
"no",1.82213,-0.48246,-0.79151,0.32197,0.58331,0.13136,1,"yes"
"yes",-0.95197,-0.48246,-0.79151,0.96248,-0.45174,0.43852,1,"yes"
"yes",-0.07854,-0.48246,1.13281,-0.30033,0.88309,-0.60633,1,"no"
"yes",-0.95197,-0.48246,-0.05188,0.96248,-1.27553,-2.35413,1,"yes"
"yes",-0.95197,-0.48246,1.8399,-2.21069,-1.11902,-0.45321,1,"yes"
"yes",1.09449,-0.48246,0.62967,-1.23177,-0.58331,-0.45321,1,"yes"
"yes",1.09449,-0.48246,-0.67825,0.00332,-0.01928,-0.01729,1,"yes"
"yes",-0.07854,-0.48246,0.22393,1.58487,0.29338,-1.47955,0,"yes"
"no",0.49788,0.48246,0.91093,-1.37639,-1.42424,-0.45321,1,"yes"
"yes",-0.95197,0.48246,2.127,-2.72827,-1.11902,-0.45321,1,"no"
"yes",-0.95197,-0.48246,0.22393,-0.69509,0.14143,-0.60633,1,"yes"
"yes",-0.95197,0.48246,1.23461,-0.57545,0.44585,-0.60633,1,"yes"
"no",0.49788,0.48246,1.23461,-1.50796,-0.01928,2.75696,0,"yes"
"no",0.49788,0.48246,0.62967,-0.15487,-1.97495,-0.15487,1,"no"
"yes",-0.07854,-0.48246,1.02119,-0.57545,0.14143,0.94156,1,"yes"
"yes",-0.95197,-0.48246,-1.43907,2.57309,0.44585,-0.76096,1,"yes"
"no",1.09449,0.48246,-0.58016,0.00332,1.65653,0.59042,0,"no"
"yes",0.49788,0.48246,1.23461,-0.69509,0.58331,0.28783,1,"no"
"no",0.49788,-0.48246,-0.58016,-0.69509,-2.39883,-0.30172,0,"no"
"yes",-0.07854,0.48246,1.8399,-1.92173,1.88511,-0.91699,1,"yes"
"no",1.09449,-0.48246,-1.55078,0.96248,-0.31776,-0.45321,0,"no"
"no",-0.07854,0.48246,0.31287,1.74091,-0.17779,0.28783,0,"no"
"no",-0.95197,0.48246,-0.05188,0.96248,2.15324,-0.30172,0,"no"
"no",1.09449,0.48246,-0.46725,0.63779,-1.11902,1.11406,1,"yes"
"yes",-0.07854,-0.48246,-0.92104,0.00332,0.7233,0.13136,1,"yes"
"yes",-0.95197,0.48246,-1.32828,1.2861,0.29338,0.43852,1,"yes"
"yes",-0.95197,0.48246,0.31287,-0.15487,-0.58331,-0.30172,1,"yes"
"yes",-0.95197,0.48246,-0.79151,-0.15487,-0.17779,-0.45321,1,"yes"
"yes",-0.07854,-0.48246,-1.1943,-1.09207,0.7233,-1.21213,1,"yes"
"yes",-0.95197,-0.48246,1.13281,1.11406,1.06238,-0.15487,1,"yes"
"yes",-0.95197,-0.48246,-3.46436,0.47617,-0.01928,1.2861,1,"yes"
"yes",-0.95197,-0.48246,1.02119,-0.43999,-0.01928,-1.772,1,"yes"
"yes",-0.95197,-0.48246,-1.55078,-1.23177,0.88309,1.61108,1,"yes"
"yes",-0.07854,-0.48246,0.62967,-0.69509,0.14143,-1.21213,1,"yes"
"yes",-0.07854,-0.48246,0.52135,-1.23177,0.44585,-3.15735,1,"yes"
"yes",1.09449,-0.48246,0.22393,-1.09207,-0.71727,-0.30172,1,"no"
"no",1.09449,0.48246,-0.58016,0.63779,-0.31776,0.43852,1,"yes"
"yes",-0.95197,-0.48246,0.62967,1.93886,1.88511,0.43852,1,"yes"
"yes",1.09449,-0.48246,-0.46725,0.00332,-0.31776,-1.21213,1,"yes"
"no",-0.07854,0.48246,0.62967,-0.15487,0.14143,-0.01729,0,"yes"
"yes",-0.95197,-0.48246,0.04257,-0.15487,1.65653,0.13136,1,"yes"
"no",-0.07854,0.48246,-0.14882,-0.94779,0.29338,0.94156,0,"no"
"yes",-0.07854,-0.48246,0.52135,-0.94779,1.06238,-0.30172,0,"yes"
"yes",-0.95197,0.48246,0.41667,0.16767,1.43533,0.59042,1,"yes"
"yes",-0.95197,-0.48246,0.04257,-0.80615,0.88309,-0.30172,1,"yes"
"yes",-0.95197,-0.48246,-1.43907,0.00332,-0.84732,0.76096,0,"yes"
"yes",-0.95197,-0.48246,0.82562,-0.15487,-0.01928,-1.34289,0,"yes"
"no",-0.07854,0.48246,-0.46725,0.32197,0.14143,1.61108,0,"no"
"yes",-0.95197,-0.48246,-0.79151,-0.30033,-0.58331,0.76096,0,"yes"
"yes",-0.95197,-0.48246,-0.46725,1.11406,0.88309,-0.30172,0,"yes"
"yes",-0.95197,-0.48246,0.82562,-0.30033,0.58331,-0.91699,1,"yes"
"yes",-0.95197,-0.48246,-1.1943,1.45421,0.44585,-0.60633,1,"yes"
"yes",-0.95197,-0.48246,-2.21844,0.32197,0.7233,1.81866,0,"yes"
"yes",-0.95197,0.48246,0.62967,0.63779,0.44585,0.13136,1,"no"
"yes",-0.07854,-0.48246,-0.92104,-0.30033,-0.17779,-1.92595,0,"no"
"yes",-0.95197,-0.48246,2.127,-2.72827,-1.27553,0.28783,1,"yes"
"no",1.09449,-0.48246,-0.46725,1.58487,1.43533,1.45039,0,"no"
"yes",-0.95197,-0.48246,-1.43907,1.11406,0.58331,-0.60633,0,"yes"
"yes",-0.95197,-0.48246,-0.24649,-1.09207,0.29338,-0.45321,1,"yes"
"yes",-0.95197,0.48246,0.91093,0.16767,0.58331,-0.15487,1,"yes"
"yes",-0.95197,-0.48246,0.62967,1.45421,0.58331,0.13136,1,"yes"
"yes",-0.07854,0.48246,0.52135,0.63779,1.24033,-0.15487,1,"yes"
"yes",-0.95197,-0.48246,-1.05308,1.93886,1.24033,0.13136,1,"yes"
"no",1.09449,0.48246,-1.69163,0.80523,1.24033,0.59042,0,"no"
"yes",1.09449,0.48246,0.41667,0.00332,0.29338,0.59042,1,"no"
"no",-0.07854,0.48246,-0.92104,0.80523,-0.58331,-0.60633,0,"no"
"no",1.09449,0.48246,-0.34799,-0.80615,-0.45174,-1.21213,0,"no"
"no",0.49788,0.48246,-0.79151,0.00332,-1.11902,-0.30172,0,"no"
"yes",0.49788,0.48246,-1.05308,0.16767,0.44585,-0.30172,1,"no"
"no",1.09449,0.48246,-1.69163,-0.69509,-1.68062,0.13136,0,"no"
"yes",-0.95197,-0.48246,-1.32828,1.74091,0.29338,1.11406,1,"yes"
"yes",-0.95197,0.48246,0.82562,-2.03972,0.44585,-1.21213,1,"yes"
"yes",-0.95197,-0.48246,0.73545,0.47617,-0.71727,-1.47955,1,"yes"
"yes",-0.07854,-0.48246,-0.24649,0.80523,0.29338,-0.30172,1,"yes"
"yes",-0.07854,0.48246,0.73545,2.127,1.24033,-0.76096,1,"yes"
"yes",-0.95197,0.48246,1.8399,-2.21069,0.7233,-0.76096,1,"yes"
"no",0.49788,-0.48246,-0.05188,-0.57545,-0.97631,-0.60633,0,"no"
"yes",-0.07854,-0.48246,-0.34799,0.63779,1.88511,-0.60633,1,"yes"
"yes",-0.95197,-0.48246,-1.86962,1.11406,0.7233,-0.30172,1,"yes"
"yes",-0.95197,-0.48246,0.82562,0.96248,-0.17779,-0.30172,1,"yes"
"yes",-0.95197,0.48246,-0.46725,0.80523,2.15324,0.76096,0,"yes"
"no",0.49788,-0.48246,1.02119,-1.37639,-0.17779,0.28783,0,"no"
"yes",0.49788,-0.48246,1.23461,-1.09207,0.88309,0.13136,1,"yes"
"yes",-0.07854,-0.48246,-2.52197,0.32197,0.7233,2.46262,1,"yes"
"no",-0.95197,0.48246,0.04257,1.58487,-0.71727,0.76096,0,"no"
"no",0.49788,0.48246,-0.34799,-0.43999,1.24033,0.13136,0,"yes"
